2.1384 -14.87104904803296 -14.87104904803296 -14.858547625868097 -14.858547625868082 -14.811221913896086 -14.811221913896054 -14.811221913896011 -14.79706520475012 -14.79706520475011 -14.782484805607728 -14.719325651495497 -14.683452437735484 -14.683452437735484
2.27205 -14.880316532640448 -14.880316532640448 -14.868784405854969 -14.868784405854926 -14.821756621220805 -14.821756621220784 -14.821756621220773 -14.80746800964228 -14.807468009642227 -14.792194565331767 -14.730034490625206 -14.693142760249911 -14.693142760249897
2.4057 -14.886712018087257 -14.886712018087257 -14.876315728848416 -14.876315728848395 -14.830358628759418 -14.830358628759418 -14.830358628759344 -14.815947410359277 -14.81594741035923 -14.799447015999034 -14.73808386000717 -14.700461558260725 -14.700461558260711
2.53935 -14.890873592314511 -14.890873592314511 -14.881751942404081 -14.881751942404057 -14.837401052373531 -14.837401052373464 -14.837401052373457 -14.822868942556193 -14.822868942556108 -14.804686824068659 -14.744117710490956 -14.705883157112416 -14.705883157112405
2.673 -14.893305008648062 -14.893305008648062 -14.885571271442968 -14.885571271442926 -14.843190846264376 -14.843190846264365 -14.843190846264312 -14.828532060176846 -14.828532060176803 -14.808269951572777 -14.748640319676456 -14.709790805417532 -14.709790805417464
2.80665 -14.894401966681295 -14.894401966681295 -14.888144863251652 -14.888144863251616 -14.847978729180882 -14.847978729180868 -14.847978729180822 -14.8331802745142 -14.833180274514126 -14.810480585693218 -14.752040308477598 -14.71249051974568 -14.712490519745623
2.9403 -14.894476312309354 -14.894476312309354 -14.88975987325031 -14.889759873250298 -14.851968966198363 -14.85196896619832 -14.851968966198317 -14.837011593701952 -14.837011593701828 -14.81154661183037 -14.754615573669508 -14.714226136474558 -14.714226136474469
3.07395 -14.893774872262036 -14.893774872262036 -14.890637521591081 -14.890637521591064 -14.855326444330267 -14.85532644433026 -14.855326444330203 -14.84018657287406 -14.840186572873954 -14.811651183364116 -14.756594710314381 -14.715191839322902 -14.715191839322785
3.2076 -14.892494258801346 -14.892494258801346 -14.890946975229866 -14.890946975229799 -14.858182888274353 -14.858182888274321 -14.858182888274214 -14.8428351244394 -14.842835124439347 -14.810942774061985 -14.758152849430367 -14.715542712717067 -14.71554271271696
3.34125 -14.89081711446676 -14.89081711446676 -14.890817114466746 -14.890792943138894 -14.860642984788353 -14.860642984788303 -14.860642984788264 -14.845062527522288 -14.84506252752221 -14.809542186561941 -14.759424446701065 -14.717474303740719 -14.71540278561449
4.0095 -14.886182540183082 -14.886182540183082 -14.886182540183018 -14.879847422391219 -14.869307676134508 -14.869307676134476 -14.852331993423437 -14.852331993423423 -14.7953230721415 -14.764066300984297 -14.739744032742944 -14.710273682655881 -14.71027368265586
4.67775 -14.878000620288663 -14.878000620288663 -14.878000620288624 -14.874660804107037 -14.874660804106924 -14.874660804106895 -14.87127481100272 -14.856340856697194 -14.856340856697152 -14.77549715560275 -14.767461842286512 -14.744140507200466 -14.702343430542658
5.346 -14.87780315161974 -14.87780315161974 -14.877803151619691 -14.877803151619677 -14.86886288452779 -14.86886288452769 -14.868810257073477 -14.858557185318968 -14.858557185318954 -14.768587521938223 -14.756915360190156 -14.73888363687374 -14.695116707927951
6.6825 -14.880190718327267 -14.880190718327267 -14.88019071832726 -14.880190718327242 -14.874570835771292 -14.86036777698593 -14.860367776985868 -14.855576480367555 -14.855576480367482 -14.76740164065061 -14.733062970967737 -14.727286539544615 -14.687037164399646
13.365 -14.883664285069427 -14.883664285069427 -14.881277835534835 -14.88127783553482 -14.881277835534796 -14.862874078893295 -14.86287407889327 -14.848595202436767 -14.848595202436622 -14.789807638675184 -14.70192866949146 -14.700493062428569 -14.68970028715066
