2.1384 -14.85989055 -14.89151519 -14.891487423342136
2.27205	-14.86690408 -14.89852485 -14.898500359623677
2.4057	-14.87168954 -14.90323474 -14.903214638277964
2.53935	-14.87467941 -14.90611023 -14.906098718980184
2.673	-14.87625084 -14.90754005 -14.907532637788409
2.80665	-14.87672204 -14.90783997 -14.907833752777519
2.9403	-14.87635655 -14.9072636 -14.907259214621206
3.07395	-14.8753704 -14.90601425 -14.906006149388212
3.2076	-14.87394024 -14.90425564 -14.904246858108507
3.34125	-14.87220989 -14.90212073 -14.90211212360591
4.0095	-14.86251316 -14.88907124 -14.888789269344855
4.67775	-14.85603636 -14.87762499 -14.876922815775206
5.346	-14.85419158 -14.87184359 -14.870150286589073
6.6825	-14.85610902 -14.8736214  -14.872172142954787
13.365	-14.85917241 -14.88268918 -14.882268219926875
