2.1384 -14.871049048032917 -14.8585476258681 -14.858547625868082 -14.81122191389604 -14.81122191389604 -14.811221913896036 -14.797065204750135 -14.797065204750128 -14.782484805607682 -14.71932565149554 -14.68345243773546 -14.683452437735445
2.27205 -14.880316532640451 -14.868784405854969 -14.86878440585494 -14.821756621220787 -14.821756621220777 -14.821756621220777 -14.807468009642227 -14.807468009642227 -14.792194565331728 -14.730034490625217 -14.693142760249907 -14.6931427602499
2.4057 -14.88671201808725 -14.876315728848406 -14.876315728848398 -14.830358628759415 -14.830358628759408 -14.830358628759404 -14.815947410359252 -14.815947410359241 -14.799447015998956 -14.738083860007142 -14.700461558260761 -14.700461558260757
2.53935 -14.890873592314469 -14.881751942404028 -14.881751942404017 -14.83740105237347 -14.83740105237346 -14.837401052373453 -14.822868942556118 -14.822868942556104 -14.804686824068648 -14.74411771049097 -14.705883157112384 -14.705883157112384
2.673 -14.893305008648012 -14.88557127144295 -14.885571271442947 -14.843190846264358 -14.843190846264344 -14.84319084626434 -14.828532060176764 -14.82853206017675 -14.808269951572706 -14.748640319676396 -14.709790805417468 -14.709790805417457
2.80665 -14.894401966681288 -14.88814486325163 -14.888144863251616 -14.847978729180854 -14.847978729180847 -14.847978729180843 -14.833180274514165 -14.83318027451414 -14.810480585693247 -14.752040308477591 -14.712490519745673 -14.71249051974567
2.9403 -14.894476312309322 -14.889759873250302 -14.889759873250295 -14.851968966198328 -14.85196896619832 -14.85196896619831 -14.837011593701849 -14.83701159370182 -14.811546611830348 -14.754615573669511 -14.714226136474498 -14.71422613647449
3.07395 -14.893774872261996 -14.890637521591053 -14.890637521591042 -14.855326444330206 -14.855326444330192 -14.855326444330167 -14.840186572873925 -14.840186572873922 -14.811651183364042 -14.75659471031431 -14.715191839322792 -14.715191839322792
3.2076 -14.892494258801314 -14.890946975229813 -14.89094697522981 -14.858182888274285 -14.858182888274285 -14.858182888274257 -14.842835124439379 -14.842835124439375 -14.810942774061989 -14.758152849430363 -14.715542712716982 -14.71554271271696
3.34125 -14.89081711446677 -14.89081711446676 -14.890792943138862 -14.8606429847883 -14.860642984788296 -14.860642984788296 -14.845062527522256 -14.845062527522256 -14.80954218656193 -14.759424446701129 -14.717474303740783 -14.715402785614486
4.0095 -14.886182540183036 -14.886182540183032 -14.879847422391258 -14.8693076761345 -14.869307676134497 -14.869307676134493 -14.852331993423434 -14.852331993423416 -14.795323072141532 -14.764066300984307 -14.73974403274297 -14.710273682655902
4.67775 -14.878000620288653 -14.878000620288635 -14.874660804106906 -14.874660804106902 -14.874660804106902 -14.871274811002728 -14.856340856697148 -14.856340856697134 -14.775497155602785 -14.767461842286508 -14.74414050720048 -14.702343430542676
5.346 -14.877803151619695 -14.877803151619688 -14.877803151619688 -14.868862884527676 -14.868862884527672 -14.868810257073488 -14.858557185318965 -14.858557185318954 -14.768587521938219 -14.756915360190188 -14.738883636873759 -14.695116707927887
6.6825 -14.880190718327237 -14.880190718327237 -14.88019071832723 -14.874570835771243 -14.860367776985845 -14.860367776985841 -14.8555764803675 -14.855576480367493 -14.767401640650569 -14.733062970967685 -14.727286539544544 -14.68703716439958
