2.1384 -14.871049048033123 -14.87098820540451
2.27205 -14.880316532640792 -14.880269190103023
2.4057 -14.886712018087453 -14.886646986151687
2.53935 -14.890873592314863 -14.890763925225018
2.673 -14.893305008648175 -14.893276421111539
2.80665 -14.894401966681473 -14.894350757104855
2.9403 -14.89447631230962 -14.894440101747517
3.07395 -14.893774872262238 -14.893703327240917
3.2076 -14.892494258801804 -14.892374970990325
3.34125 -14.890817114467602 -14.89071997204999
4.0095 -14.886182540184322 -14.879834999964554
4.67775 -14.87800062029028 -14.87091788119158
5.346 -14.87780315162016 -14.868640700176261
6.6825 -14.880190718327906 -14.874444538411622
