2.1384	-14.87098820540451	-14.855200034644026	
2.27205	-14.880269190103023	-14.862692074687155
2.4057	-14.886646986151687	-14.867804481164677
2.53935	-14.890763925225018	-14.871020819500512
2.673	-14.893276421111539	-14.872750669885107
2.80665	-14.894350757104855	-14.873333402868859
2.9403	-14.894440101747517
3.07395	-14.893703327240917	-14.872116253626178
3.2076	-14.892374970990325
3.34125	-14.89071997204999	-14.86902005344779
4.0095	-14.879834999964554	-14.859280465878149
4.67775	-14.87091788119158	-14.852405812908598
5.346	-14.868640700176261	-14.85008013455294
6.6825	-14.874444538411622

