2.1384 [-2.82587946e-05  2.93956720e-05  2.40589482e-05  3.00693223e-06
 -4.66422535e-05  2.83318460e-05  4.90210211e-05  4.87837261e-04
  6.27604539e-04  1.09330893e-03  1.64239811e-02 -4.67952952e-04
 -3.06905243e-05  1.31381860e-05  3.54848862e-05 -5.87090364e-06
 -4.73275865e-05  5.48337736e-05 -8.27831583e-06  5.28807494e-04
 -4.72824996e-04 -1.19925517e-03  1.66079138e-02  5.88285744e-04
 -3.90619155e-04 -2.12040449e-03 -3.61747948e-04 -2.11671876e-03
 -2.17827300e-03 -1.98840590e-03 -2.42517211e-03 -3.24113512e-03
 -2.04547370e-03  1.50061576e-03 -2.94694102e-04 -3.32768542e-04
 -2.01102993e-03 -2.01013452e-03  2.04313709e-03 -1.95736210e-03
 -3.23554770e-03  1.78176173e-03 -2.18407716e-03 -2.05136022e-01
 -2.18612676e-03 -2.09772322e-01 -2.53555558e-03  1.85452590e-03
 -1.15172161e-01  1.57982541e-03  2.13141542e-03 -1.00361690e-01
  6.26224725e-05  1.77299020e-04  9.51937819e-05  2.39389233e-04]
2.27205 [-5.29184432e-06  1.66631947e-05  1.58172483e-06 -5.44295083e-06
  3.40608565e-05  1.95758706e-05 -3.19775666e-05  5.71518324e-04
 -1.18440223e-03 -4.50256492e-04 -1.47903504e-02 -7.45186731e-04
 -2.83357950e-05 -3.76438233e-05 -4.17090831e-05 -2.04465542e-05
 -8.19658889e-06 -1.76490795e-05 -2.17308070e-05  4.87958300e-04
  1.19461080e-03  7.86249697e-04 -1.53663456e-02  8.67080372e-04
 -3.43591139e-04 -1.94069797e-03 -3.20759601e-04 -1.99073242e-03
 -1.75179117e-03  1.76050364e-03 -2.37883164e-03 -3.28454678e-03
  1.78879898e-03  1.57759119e-03 -2.82297297e-04 -2.94984672e-04
  1.76633089e-03 -1.58489599e-03 -1.78382308e-03  1.75502263e-03
 -3.29535460e-03 -1.53790238e-03 -1.96816953e-03 -1.96255065e-01
 -2.00236210e-03 -1.99846819e-01 -2.52181337e-03 -1.60807546e-03
 -1.19384035e-01  1.62115212e-03 -1.76784287e-03 -1.04546884e-01
 -7.59670457e-05 -1.94537068e-04 -3.89716469e-05 -2.32745212e-04]
2.4057 [ 1.30860070e-05 -2.31167210e-06  1.00532616e-05 -5.53056961e-05
 -5.74864498e-05 -9.96987769e-06  5.14106091e-04 -1.01350028e-05
  1.25830701e-03 -8.82187925e-04 -2.02798951e-04 -1.36027724e-02
  3.78102933e-05  1.88330812e-05 -2.49903719e-05 -4.40532666e-05
 -1.93365335e-05  1.66923996e-05  5.09056750e-04  1.24969462e-05
 -1.19238025e-03  1.04011088e-03 -1.49245679e-05 -1.32032731e-02
 -2.95005896e-04 -1.82097529e-03 -2.52472232e-04 -1.85834217e-03
 -3.31004738e-03  1.53101499e-03  1.61344220e-03 -1.33410724e-03
  1.58014144e-03 -2.29378950e-03 -2.67204589e-04 -2.39939168e-04
