2.1384	-14.859692354455705	-14.859637085206304	-14.854303212305984
2.27205	-14.866682846676648	-14.866636710400668	-14.8617283072281
2.4057	-14.871446878503042	-14.871427735983138	-14.866733952803743
2.53935	-14.874415425425244	-14.874351864309439	-14.869802215967958
2.673	-14.875964168285606	-14.875932256472918	-14.871338942690066
2.80665	-14.876409817998002	-14.876380102684504	-14.871677974816112
3.07395	-14.87499228884657	-14.874964511379872	-14.869792344351119
3.34125	-14.87173379681416	-14.871723264540142	-14.865726120645297
3.6	-14.869590356009546	-14.867782090532081	-14.860658691142554
3.8	-14.868028608300547	-14.864639416063811	-14.85635550298928
4.0095	-14.866264072111084	-14.861503677550362	-14.851699702928583
4.2	-14.864636915026976	-14.858904746266239	-14.847449712220692
4.67775	-14.860781183439014	-14.853922652465643	-14.837157448378742
4.8	-14.859881515671061	-14.853067394569358	-14.834662579232678
5.0	-14.858499674057887	-14.851977947951378	-14.830730392307876
5.36	-14.856297035988602	-14.850925701101442	-14.824150370635024
6.0	-14.854191574996722	-14.851103421069364	-14.81405322159503
6.4	-14.854908894313466	-14.835683981587678	-14.808720429071535
6.85	-14.859896039339448	-14.832791864111027	-14.803519895521111
8.0	-14.85811655507078	-14.848257659947786	-14.79337202761461
10.0	-14.858982889505736	-14.849157052493572	-14.782944461605174
12.0	-14.859145366174795	-14.854681953624075	-14.777417581497778
