2.1384	-14.913491228489965	-14.913475966928486
2.27205	-14.919293393089019	-14.919280732314261
2.4057	-14.922896866431016	-14.922886223259232
2.53935	-14.924778138885939	-14.924768771226388
2.673	-14.92533015142976	-14.925322162265507
2.80665	-14.924870191712037	-14.92486278172573
2.9403	-14.923652706393263	-14.923646559229127
3.07395	-14.921881832396966	-14.921875705223663
3.2076	-14.91972195123612	-14.919716097265024
3.34125	-14.917305961035094	-14.91730036322727
4.0095	-14.9044992112552	-14.904493619137792
4.67775	-14.894670364603378	-14.894666212067197
5.346	-14.889129642506091	-14.889122479624138
6.6825	-14.885869768485648	-14.885857361680294
