2.1384	-14.855200	-14.859891	-14.861929	-14.919020	-14.919535	-14.919548
2.27205	-14.862692	-14.866904	-14.869008	-14.924778	-14.925237	-14.925248
2.4057	-14.867805	-14.871690	-14.873901	-14.928341	-14.928758	-14.928768
2.53935	-14.871021	-14.874679	-14.877036	-14.930188	-14.930572	-14.930582
2.673	-14.872751	-14.876251	-14.878786	-14.930711	-14.931072	-14.931081
2.80665	-14.873334	-14.876722	-14.879467	-14.930226	-14.930573	-14.930581
2.9403	-14.873048	-14.876357	-14.879341	-14.928989	-14.929327	-14.929335
3.07395	-14.872117	-14.875370	-14.878620	-14.927201	-14.927536	-14.927544
3.2076	-14.870726	-14.873940	-14.877482	-14.925025	-14.925364	-14.925372
3.34125	-14.869021	-14.872210	-14.876067	-14.922595	-14.922942	-14.922950
4.0095	-14.859283	-14.862513	-14.868076	-14.909769	-14.910245	-14.910254
4.67775	-14.852408	-14.856036	-14.862583	-14.900126	-14.900850	-14.900862
5.346	-14.850091	-14.854192	-14.860295	-14.894860	-14.895858	-14.895872
6.6825	-14.852317	-14.856109	-14.859585	-14.891467	-14.892809	-14.892823
13.365	-14.858977	-14.859172	-14.859225	-14.890592	-14.892131	-14.892144
