2.1384 -14.882032642866124 -14.881956304043408
2.27205 -14.88966573227218 -14.889652082799708
2.4057 -14.895169598231648 -14.894887635087196
2.53935 -14.900207606386763 -14.898194646133943
2.673 -14.90386002219761 -14.899974836099654
2.80665 -14.90640900979138 -14.900557675851699
2.9403 -14.908078509768018 -14.900212041961762
3.07395 -14.909374776038462 -14.899150447311175
3.2076 -14.909655085498635 -14.897593663867752
3.34125 -14.909478847293407 -14.895614332009036
4.0095 -14.904261746721946 -14.883294223028695
4.67775 -14.894272101178487 -14.871687043798797
5.346 -14.8883854846108 -14.868613837159216
6.6825 -14.882571778326318 -14.87257253413359
13.365 -14.883625459885593 -14.883596359935837
