0.6876	-100.12464	-100.11631
0.73344	-100.16898	-100.16649
0.77928	-100.19587	-100.19866
0.82512	-100.21301	-100.21781
0.87096	-100.22452	-100.22757
0.9168	-100.23059	-100.23058
0.96264	-100.23128	-100.22877
1.00848	-100.22760	-100.22355
1.146	-100.21037	-100.19656
1.3752	-100.16809	-100.14215
1.55856	-100.13023	-100.10459
1.65024	-100.11211	-100.08921
1.74192	-100.09509	-100.07620
1.8336	-100.08009	-100.06543
2.0628	-100.04701	-100.04705
2.292	-100.03965	0.0
2.7504	-100.03685	-100.02871
