2.1384 -14.88203264286811 -14.88203264286811 -14.87957972134887 -14.879579721348806 -14.863546945436054 -14.863546945434619 -14.863546945433766 -14.863546945432274 -14.854444798279482 -14.85444479827766 -14.84976791907298 -14.849767919071743 -14.849767919069572
2.27205 -14.889665732275583 -14.889665732275583 -14.888453829662991 -14.888453829662664 -14.869791946893267 -14.869791946892848 -14.869791946892038 -14.86979194689039 -14.862977753859761 -14.862977753858884 -14.854343441007613 -14.854343441006778 -14.854343441005797
2.4057 -14.895169598238981 -14.895169598238981 -14.895169598235247 -14.894896723691373 -14.87393991839429 -14.873939918393118 -14.873939918392617 -14.873939918392056 -14.869386302769014 -14.869386302767639 -14.859570214869224 -14.859570214868787 -14.859570214865984
2.53935 -14.900207606392085 -14.900207606392085 -14.90020760638854 -14.898201282657398 -14.876432582644393 -14.876432582643853 -14.876432582641586 -14.876432582641032 -14.874892240736306 -14.874892240736171 -14.863678894207682 -14.863678894206478 -14.863678894206414
2.673 -14.903860022202691 -14.903860022202691 -14.90386002219949 -14.89998102863087 -14.879022104674958 -14.879022104674936 -14.877606672663523 -14.877606672663267 -14.877606672663193 -14.877606672661 -14.86688635075255 -14.866886350751168 -14.8668863507505
2.80665 -14.906409009795146 -14.906409009795146 -14.906409009794823 -14.900564097433135 -14.882090480230113 -14.882090480229026 -14.877758929983935 -14.8777589299831 -14.87775892998223 -14.877758929979903 -14.869374569003254 -14.869374569002344 -14.869374569001737
2.9403 -14.908078509772448 -14.908078509772448 -14.90807850977053 -14.900218490754451 -14.88433844298465 -14.884338442982436 -14.877132561708859 -14.87713256170812 -14.877132561708088 -14.877132561705093 -14.871295144839266 -14.87129514483734 -14.871295144836484
3.07395 -14.909374776042373 -14.909374776042373 -14.909374776040131 -14.899158353304642 -14.886092486686472 -14.886092486683665 -14.876308290584486 -14.876308290584056 -14.876308290584024 -14.876308290581356 -14.87281853481544 -14.872818534814144 -14.872818534812758
3.2076 -14.909655085502674 -14.909655085502674 -14.909655085499455 -14.89760205697237 -14.887685132144338 -14.887685132144174 -14.87519297763334 -14.875192977633215 -14.875192977632572 -14.875192977628036 -14.87500453803397 -14.875004538032488 -14.875004538031664
3.34125 -14.90947884729787 -14.90947884729787 -14.909478847294618 -14.895623396427652 -14.888371796459719 -14.888371796459023 -14.87769951152239 -14.877699511522064 -14.877699511521438 -14.877699511519424 -14.874802924384774 -14.874802924384323 -14.87480292438379
4.0095 -14.904261746723378 -14.904261746723378 -14.904261746722252 -14.8873377368717 -14.88733773687089 -14.885719526119196 -14.885719526118471 -14.885719526117914 -14.885719526117867 -14.883314671108664 -14.876952763642457 -14.876952763641754 -14.876952763640201
4.67775 -14.894272101179446 -14.894272101179446 -14.894272101178505 -14.888879037620416 -14.888879037620224 -14.88887903761833 -14.888879037617592 -14.883457873584508 -14.88345787358438 -14.878249769829043 -14.878249769828852 -14.878249769828123 -14.877024001257531
5.346 -14.888385484607507 -14.888385484607507 -14.888385484606129 -14.888385484605564 -14.888385484605326 -14.883635580251635 -14.883635580250647 -14.881267764778801 -14.881267764778695 -14.881267764777647 -14.877735933287699 -14.877735933287337 -14.876028103939788
6.6825 -14.882571778327168 -14.882571778327168 -14.882571778326676 -14.882571778325968 -14.88185783957489 -14.881857839574504 -14.881857839573453 -14.881857839573268 -14.872764276496692 -14.871861131633597 -14.871861131632567 -14.871861131631503 -14.871861131631041
13.365 -14.883625459886812 -14.883625459886812 -14.88156038925305 -14.881560389252092 -14.881560389251822 -14.866356990653188 -14.866356990652609 -14.864476090820826 -14.864476090819684 -14.864476090819082 -14.863370121447232 -14.86337012144637 -14.863370121445866
