0.6876	-100.11440645333631	-99.98782035168121	-99.91530496
0.73344	-100.16450429568428	-100.03216346100132	-99.96342102
0.77928	-100.19657378111339	-100.0590497264425	-99.993548
0.82512	-100.21562219323197	-100.07618648063428	-100.01067851
0.87096	-100.22527002758859	-100.08770285762742	-100.01842495
0.9168	-100.22815411457549	-100.0937685348612	-100.01941871
0.96264	-100.22620248374876	-100.09446478972905	-100.01558186
1.00848	-100.22082846378837	-100.09078182862817	-100.00831943
1.146	-100.19328711011151	-100.07354548981802	-99.97496476
1.3752	-100.13745639931847	-100.03127439407221	-99.90794207
1.55856	-100.09813527422912	-99.99340782847881	-99.85727205
1.65024	-100.08163644901559	-99.97529068507903	-99.83414507
1.74192	-100.06734034383916	-99.95826896891867	-99.81259496
1.8336	-100.05517649571489	-99.94326946877477	-99.7926024
2.068	-100.03307311433353	-99.91019287060907	-99.74901119
2.292	-100.020132356935	-99.90282846759892	-99.71343434
2.512	0	-99.92247	0.0
2.7504	-100.00898822232367	-99.9000270526941	-99.66123161
6.0	0	-99.89784003730071	0.0


