2.1384	-14.855200345609626	-14.85406623095698	-14.854303212305984
2.27205	-14.862692455027863	-14.861526535647316	-14.8617283072281
2.4057	-14.86780495088768	-14.86652728524182	-14.866733952803743
2.53935	-14.871021386828211	-14.869712817934538	-14.869802215967958
2.673	-14.872751344117084	-14.871930760998602	-14.871338942690066
2.80665	-14.873334188682325	-14.872827668309569	-14.871677974816112
3.07395	-14.872117287202368	-14.871741902969891	-14.869792344351119
3.34125	-14.869021336713674	-14.868649675601345	-14.865726120645297
3.6	-14.865764964633417	-14.864515285278635	-14.860658691142554
3.8	-14.864211907184364	-14.861544310099697	-14.85635550298928
4.0095	-14.86245988309828	-14.857961051270903	-14.851699702928583
4.2	-14.860850686622989	-14.853920594943835	-14.847449712220692
4.67775	-14.857074094108322	-14.845480656794804	-14.837157448378742
4.8	-14.85620222365143	-14.848892808022661	-14.834662579232678
5.0	-14.854871798721081	-14.844410225562344	-14.830730392307876
5.36	-14.852778862256867	-14.835424777698456	-14.824150370635024
6.0	-14.854191049349177	-14.843040365115744	-14.81405322159503
6.4	-14.854908285232648	-14.842500034074545	-14.808720429071535
6.85	-14.855566661928279	-14.842182909378161	-14.803519895521111
8.0	-14.85682772990854	-14.840683110885609	-14.79337202761461
10.0	-14.858249709190268	-14.839126403130313	-14.782944461605174
