2.1384 -14.871049048033123 -14.858547625868328
2.27205 -14.880316532640792 -14.86878440585553
2.4057 -14.886712018087453 -14.876315728848683
2.53935 -14.890873592314863 -14.88175194240454
2.673 -14.893305008648175 -14.885571271443306
2.80665 -14.894401966681473 -14.88814486325201
2.9403 -14.89447631230962 -14.889759873250856
3.07395 -14.893774872262238 -14.890637521591302
3.2076 -14.892494258801804 -14.890946975230225
3.34125 -14.890817114467602 -14.890792943139779
4.0095 -14.886182540184322 -14.886182540183142
4.67775 -14.87800062029028 -14.878000620288727
5.346 -14.87780315162016 -14.877803151619993
6.6825 -14.880190718327906 -14.88019071832725
