2.138 -14.87104241697299 -14.81122081399554 -14.78247202159554 -14.62336992831809
2.272 -14.88030965151132 -14.82175559702521 -14.79218212702521 -14.63745614273909
2.406 -14.88670479884431 -14.83035762310715 -14.79943479350715 -14.65061988436999
2.539 -14.89086596320462 -14.83740002169098 -14.80467470209098 -14.66286715237733
2.673 -14.89329691210983 -14.84318975677642 -14.80825782897642 -14.674197408043
2.807 -14.89439335577624 -14.84797755407756 -14.81046837367756 -14.68461600897887
2.94 -14.89446714834332 -14.85196768386948 -14.81153423246948 -14.69413607759564
3.074 -14.89376512467583 -14.85532503731429 -14.81163856891429 -14.70277392765275
3.208 -14.8924839067026 -14.85818134253037 -14.81092986653037 -14.71054519525813
3.341 -14.89078197745688 -14.86064128910114 -14.80952893690114 -14.71746317914541
4.01 -14.8798337340273 -14.86930513178428 -14.79530760038429 -14.73973251674127
4.678 -14.87465739348653 -14.87126045968129 -14.77547537488653 -14.74411818369178
5.346 -14.8777989964382 -14.8687963122852 -14.7568891132382 -14.73885302739121
6.683 -14.88018564845057 -14.87455742802526 -14.73303035745057 -14.72724415537588

