2.1384 -14.86192901 -14.89194636 -14.89135341
2.27205 -14.86900769 -14.89898402 -14.89818142
2.4057 -14.87390053 -14.90375183 -14.90331309
2.53935 -14.87703563 -14.90671626 -14.9063463
2.673 -14.87878623 -14.9082689 -14.90782728
2.80665 -14.87946737 -14.90872944 -14.9081201
2.9403 -14.87934051 -14.90835616 -14.90792897
3.07395 -14.87862036 -14.90735763 -14.90696025
3.2076 -14.87748197 -14.9059029 -14.90523061
3.34125 -14.8760669 -14.90413011 -14.90325488
4.0095 -14.86807579 -14.89380801 -14.89199387
4.67775 -14.86258294 -14.88581207 -14.885792026
5.346 -14.8602951 -14.88200004 -14.88198658
6.6825 -14.85958517 -14.88097655 -14.88096659
13.365 -14.85922456 -14.88274174 -14.88146159
